Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
LD1A1	0.3196614686473004	0.41778285400458215
LD1A2	0.27705883374732926	0.233404125575625
LD1A3	0.22036106272429165	0.43268076289792956
LD1A4	0.8619377425983713	0.944603438489478
LD1A5	6.407755595346409	4.673353405512995
LD1A6	0.29783511865157236	0.34098114496992654
LD1A7	0.26469985658676504	0.10243802499487809
LD1B1	0.3043202586168441	0.4549729382010218
LD1B2	0.6924298367068856	0.7343794641876004
LD1B3	0.27837747442410415	0.3903547165252195
LD1B4	9.952407593823567	4.088799564401718
LD1B5	0.6787589428014997	0.8860064536204735
LD1B6	0.25799531721943686	0.6088917464567711
LD1B7	0.2709217402841323	0.21953600991747185
LD1C1	0.34410140919535553	0.6329178274396567
LD1C10	7.69153556255603	5.668052512909195
LD1C2	0.48019295535308276	0.8348680295812385
LD1C3	0.28153087221041045	0.3559492006564035
LD1C4	2.180757708130986	2.527295446508633
LD1C5	0.26623433824045334	0.1730086032161895
LD1C6	0.29241011416904683	0.3931631667070389
LD1C7	0.20755112221416466	0.4317816322291302
LD1C8	8.663575735751545	8.378294518338473
LD1C9	1.010863334222611	0.9261946123532834
LD1D1	13.38355508139836	9.028560498639468
LD1D10	0.27619127742919125	0.0
LD1D2	1.5046824939467887	1.633809764345696
LD1D3	0.2856889062059171	0.25684495074320496
LD1D4	0.3259506975057956	0.4617834166424734
LD1D5	0.26122514875350944	0.2511456523916249
LD1D6	0.29202647914423807	0.6365760359163479
LD1D7	0.5111823274032075	0.6139894362500058
LD1D8	0.22474128209945435	0.1308675245736904
LD1D9	6.619544293776834	3.380598505355672
O22A1	0.311391067557235	0.497384738097179
O22A2	0.23628196197062018	0.8470428631383331
O22A3	5.226857053316594	6.233707902234408
O22A4	16.201846463689396	10.447962059382697
O22A5	0.25962043061882667	0.18244263712763098
O22A6	0.2673529582225759	0.555319725504263
O22A7	1.6940413464549986	3.1876996107390845
O22A8	8.979858331556278	6.0188262316955825
O22B1	18.23677427446428	9.170143827638551
O22B2	2.9949999017018683	4.429995347221768
O22B3	0.22225862148593714	0.449795454943146
O22B4	0.28395892130281325	0.22547979465274265
O22B5	7.655399232238795	10.47058888765303
O22B6	3.182322133672503	6.058870141472056
O22B7	0.4388253650438348	0.5831902852943722
O22B8	0.27594933523854803	0.25694574574521545
O22C1	0.40337435183035364	0.5430264255432586
O22C2	15.60681550107524	12.600593814103902
O22C3	0.266994963915883	0.2886729360224804
O22C4	3.088416425384931	4.627067784732095
O22C5	0.23492294418136125	0.375852422973023
O22C6	20.656061331920355	12.567441617625164
O22C7	0.2762842955998783	0.16834503729076028
O22C8	3.0328562793828135	4.088308293298541
O22D1	4.17376852496575	6.238537472653389
O22D2	0.2869715227446966	0.4702986714757178
O22D3	10.667142760749112	13.664160801645131
O22D4	0.29364827045084013	0.48001703943030677
O22D5	5.161470715770271	7.982565528790801
O22D6	0.29265823303783745	0.45898855674705497
O22D7	11.004928530747	12.086760140951478
O22D8	0.43042847211503144	0.5402716404801989
highN4A1	0.25531842361058465	0.1153239049723846
highN4A2	0.159150490253004	0.2553448687339924
highN4A3	0.45651186402830807	1.690939936404342
highN4A4	0.6295926663763839	3.5921731524331735
highN4A5	0.24715266056710583	0.1091851627062278
highN4A6	0.17207587192853452	0.26888848189626974
highN4A7	0.4770458808783219	1.895914308725934
highN4A8	0.6471249202221777	4.4805350971484605
highN4B1	0.6587244912879134	4.325951179110236
highN4B2	0.48107580306613174	2.069771767144034
highN4B3	0.1623992000009199	0.24331133386968123
highN4B4	0.2233612488212942	0.0
highN4B5	0.7806566828143785	5.074285682752988
highN4B6	0.44930669850797644	1.8775185292757177
highN4B7	0.15528692906165828	0.14497135550984033
highN4B8	0.21160343954214422	0.0
highN4C1	0.16639975312714483	0.2384486736791327
highN4C2	0.8616222205014266	6.043651668230983
highN4C3	0.2521798909096378	0.11046818230112454
highN4C4	0.4778586547942347	2.4644634690519216
highN4C5	0.17988384401480811	0.350930958822722
highN4C6	0.9340566246342142	5.675788216171821
highN4C7	0.23823340629166354	0.10446407742652611
highN4C8	0.47360616334367345	2.382817931096697
highN4D1	0.47059163929987874	2.2763656354433834
highN4D2	0.21964956041407693	0.0
highN4D3	0.7500994278630803	6.155355881831579
highN4D4	0.16133838351944083	0.23548200134440858
highN4D5	0.1629120095415283	0.15655221963580523
highN4D6	0.22126194226484505	0.0
